"cod_ann","location","nature","type","title","link","price","date_modified","has_photo","is_professional","scrape_date"
"3434464","Ben Arous","Location","App. 2 pi�c","Bureaux et cabinet","Details_Annonces_Immobilier.asp?cod_ann=3434464&titre=Bureaux et cabinet","620","14/11/2025","true","false","2025-11-14T15:41:33.160Z"
"3435559","Gabes","Vente","Surfaces","Titre bleu 0145872","Details_Annonces_Immobilier.asp?cod_ann=3435559&titre=Titre bleu 0145872","27 000","14/11/2025","false","false","2025-11-14T15:41:33.864Z"
"3435203","Bab Bhar","Vente","Maisons","Appartement s2 centre vi","Details_Annonces_Immobilier.asp?cod_ann=3435203&titre=Appartement s2 centre ville tunis lafayette","140 000","14/11/2025","true","false","2025-11-14T15:41:34.806Z"
"3433557","El Aouina","Location","App. 3 pi�c","Appt s2 meubl� neuf � ci","Details_Annonces_Immobilier.asp?cod_ann=3433557&titre=Appt s2 meubl� neuf � cit� les palmeraies","1 800","14/11/2025","true","false","2025-11-14T15:41:35.543Z"
"3435558","Bab Bhar","Vente","Maisons","Appartement s1 centre vi","Details_Annonces_Immobilier.asp?cod_ann=3435558&titre=Appartement s1 centre ville tunis","7 900 000","14/11/2025","true","false","2025-11-14T15:41:36.220Z"
"3413066","Chatt Meriem","Vente","App. 3 pi�c","Appartement s2 � 400m�tr","Details_Annonces_Immobilier.asp?cod_ann=3413066&titre=Appartement s2 � 400m�tre de la plage chatt mariem","220 000","14/11/2025","true","false","2025-11-14T15:41:37.007Z"
"3423414","Cite Jaouhara","Terrain","Terrain nu","Offre terrain 427m de vo","Details_Annonces_Immobilier.asp?cod_ann=3423414&titre=Offre terrain 427m de vocation r4 � bouhsina","371 490","14/11/2025","true","false","2025-11-14T15:41:37.696Z"
"3333592","Akouda","Vente","Maisons","Villa inachev� rdc et 1�","Details_Annonces_Immobilier.asp?cod_ann=3333592&titre=Villa inachev� rdc et 1�r �tage � akouda","185 000","14/11/2025","true","false","2025-11-14T15:41:38.404Z"
"3430205","Berge Du Lac","Location","Maisons","Villa s7 avec piscine au","Details_Annonces_Immobilier.asp?cod_ann=3430205&titre=Villa s7 avec piscine au lac 2","16 000","14/11/2025","true","false","2025-11-14T15:41:39.091Z"
"3435557","Chatt Meriem","Location","App. 1 pi�c","S0 vue mer","Details_Annonces_Immobilier.asp?cod_ann=3435557&titre=S0 vue mer","90 000","14/11/2025","true","false","2025-11-14T15:41:39.775Z"
